,low_z,high_z,u-g,g-r,r-i,i-z,z-y
0,0.0,0.05,1.343000054359436,0.02800000086426735,1.0820000171661377,0.2630000114440918,-1.544
1,0.05,0.1,0.6859999895095825,0.6179999709129333,0.375,0.14900000393390656,-0.585
2,0.1,0.15,0.8809999823570251,0.5709999799728394,0.40700000524520874,0.21799999475479126,-0.059
3,0.15,0.2,0.5149999856948853,0.6100000143051147,0.4690000116825104,0.13300000131130219,0.013
4,0.2,0.25,0.28700000047683716,0.46299999952316284,0.3610000014305115,0.1080000028014183,0.014
5,0.25,0.3,0.31700000166893005,0.4129999876022339,0.12700000405311584,0.39399999380111694,-0.15
6,0.3,0.35,0.2639999985694885,0.32899999618530273,0.04899999871850014,0.5609999895095825,-0.358
7,0.35,0.4,0.34299999475479126,0.2619999945163727,0.15000000596046448,0.44999998807907104,-0.277
8,0.4,0.45,0.4090000092983246,0.20399999618530273,0.2590000033378601,0.3100000023841858,-0.19
9,0.45,0.5,0.4580000042915344,0.1679999977350235,0.3050000071525574,0.22499999403953552,0.012
10,0.5,0.55,0.46299999952316284,0.1340000033378601,0.3100000023841858,0.1459999978542328,0.276
11,0.55,0.6,0.5360000133514404,0.11900000274181366,0.31299999356269836,0.09600000083446503,0.37
12,0.6,0.65,0.5529999732971191,0.11900000274181366,0.2849999964237213,0.08399999886751175,0.253
13,0.65,0.7,0.578000009059906,0.13600000739097595,0.2029999941587448,0.19200000166893005,-0.069
14,0.7,0.75,0.5440000295639038,0.14800000190734863,0.12399999797344208,0.2879999876022339,-0.185
15,0.75,0.8,0.5260000228881836,0.16200000047683716,0.0949999988079071,0.3140000104904175,-0.234
16,0.8,0.85,0.4790000021457672,0.17000000178813934,0.07100000232458115,0.3100000023841858,-0.259
17,0.85,0.9,0.4390000104904175,0.19200000166893005,0.05400000140070915,0.2770000100135803,-0.233
18,0.9,0.95,0.3440000116825104,0.2529999911785126,0.032999999821186066,0.24799999594688416,-0.218
19,0.95,1.0,0.27900001406669617,0.3050000071525574,0.035999998450279236,0.20000000298023224,-0.122
20,1.0,1.05,0.2770000100135803,0.3499999940395355,0.020999999716877937,0.15199999511241913,-0.034
21,1.05,1.1,0.24699999392032623,0.3659999966621399,0.024000000208616257,0.10000000149011612,-0.006
22,1.1,1.15,0.1770000010728836,0.3700000047683716,0.041999999433755875,0.0560000017285347,0.025
23,1.15,1.2,0.1509999930858612,0.38100001215934753,0.05900000035762787,0.041999999433755875,-0.027
24,1.2,1.25,0.11800000071525574,0.3889999985694885,0.061000000685453415,0.041999999433755875,-0.122
25,1.25,1.3,0.09799999743700027,0.41100001335144043,0.05700000002980232,0.035999998450279236,-0.132
26,1.3,1.35,0.08299999684095383,0.40400001406669617,0.061000000685453415,0.04600000008940697,-0.168
